,smlmitzrach,protein,total_fat,carbohydrates,lable
314,21000140,17.5,23.60000038,1.200000048,-1
315,21100109,33.40000153,7.699999809,2.400000095,-1
316,21100119,30.79999924,5.0,2.099999905,-1
317,21100129,28.20000076,12.30000019,1.899999976,-1
318,21100139,27.89999962,7.400000095,2.0,-1
319,21100149,16.0,4.0,0.5,-1
320,21100159,16.0,10.0,0.5,-1
321,21100169,16.0,8.0,0.5,-1
322,21100179,16.0,8.0,0.5,-1
323,21100199,18.89999962,10.10000038,0.5,-1
324,21100209,21.20000076,0.699999988,0.800000012,-1
325,21100219,18.89999962,14.5,1.899999976,-1
326,21100249,20.0,2.599999905,0.899999976,-1
327,21100269,19.39999962,6.800000191,0.0,-1
328,21100289,21.5,3.400000095,0.300000012,-1
329,21100299,20.10000038,1.5,0.300000012,-1
330,21101130,28.94000053,5.340000153,0.0,-1
331,21101139,20.1,8.0,0.0,-1
332,21101148,20.70085335,11.86127377,0.0,-1
333,21101149,15.30000019,8.100000381,0.0,-1
334,21101158,16.83607101,9.785767555,3.329865217,-1
335,21102120,28.36000061,7.739999771,0.0,-1
336,21102130,29.01000023,5.0,0.0,-1
337,21105120,30.79999924,13.18999958,0.0,-1
338,21304110,21.38999939,41.63000107,0.0,-1
339,21304120,30.5,17.98,0.0,-1
340,21304129,24.29999924,8.300000191,1.100000024,-1
341,21304149,17.5,8.0,0.800000012,-1
342,21401049,18.10000038,5.0,0.699999988,-1
343,21401110,29.64999962,4.449999809,0.0,-1
344,21401120,29.12999916,3.710000038,0.0,-1
345,21401129,23.20000076,5.099999905,0.899999976,-1
346,21407110,29.09000015,4.340000153,0.0,-1
347,21407119,23.79999924,8.399999619,0.100000001,-1
348,21407120,30.79999924,13.18999958,0.0,-1
349,21407129,16.5,6.0,1.0,-1
350,21407149,20.10000038,9.5,0.0,-1
351,21407159,20.89999962,3.900000095,0.0,-1
352,21407189,15.0,9.0,0.800000012,-1
353,21410120,30.79999924,13.18999958,0.0,-1
354,21410129,18.89999962,10.10000038,0.0,-1
355,21412008,8.850704193,4.167113781,10.52267933,-1
356,21412018,7.335712433,4.553040504,7.66779995,-1
357,21412038,13.8213768,9.142771721,2.239733934,-1
358,21412048,10.63499737,6.191906452,3.258059025,-1
359,21412078,17.12856483,11.06853962,0.578969777,-1
360,21413028,17.60390472,9.152171135,1.775328636,-1
361,21414008,11.70425701,15.99202156,3.966693401,-1
362,21414109,29.10000038,3.900000095,1.600000024,-1
363,21417009,14.0,10.30000019,0.600000024,-1
364,21417019,21.5,12.80000019,0.899999976,-1
365,21417039,15.0,4.0,4.0,-1
366,21500000,17.44,19.07,0.0,-1
367,21501249,16.0,15.0,1.0,-1
368,21501259,14.0,15.0,2.0,-1
369,21501269,20.0,7.900000095,4.949999809,-1
370,21501308,14.32413673,9.388571739,2.663761139,-1
371,21501318,14.79859734,11.70921898,2.080997944,-1
372,21501319,15.0,12.0,10.0,-1
373,21501338,10.0235815,6.084846497,9.273929596,-1
374,21501348,10.86702251,3.10751009,8.678571701,-1
375,21501368,17.71535301,5.118945122,7.577516079,-1
376,21501398,17.00801849,33.16405487,0.208017915,-1
