code,smlmitzrach,shmmitzrach,ofen_hachana,ofen_hachanat_makor,makor,protein,total_fat,carbohydrates,food_energy,alcohol,moisture,total_dietary_fiber,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,vitamin_a_iu,carotene,vitamin_e,vitamin_c,thiamin,riboflavin,niacin,vitamin_b6,folate,folate_dfe,vitamin_b12,cholesterol,saturated_fat,butyric,caproic,caprylic,capric,lauric,myristic,palmitic,stearic,oleic,linoleic,linolenic,arachidonic,docosahexanoic,palmitoleic,parinaric,gadoleic,eicosapentaenoic,erucic,docosapentaenoic,mono_saturated,poly_ saturated,vitamin_d,total_sugars,trans_fatty_acids,vitamin_a_re,mishtamesh_id,isoleucine,leucine,valine,lysine,threonine,methionine,phenylalanine,tryptophan,histidine,tyrosine,arginine,cystine,serine,kvutza_meyuhedet,shem_mitzrach_mekutzar,vitamin_k,pantothenic_acid,iodine,selenium,sugar_alcohols,choline,biotin,manganese,fructose
4791,91770069,"סוכריות יוגורט, ללא סוכר, בטעמים שונים, MUST",,,3,0,2.400000095,97,254,0,40.5,0,0.239999995,0.0033,0.01,0,0.079999998,54,0.001,0.0003,0,0,0.162,0,0,0,0,0,0,0,0,0,2.299999952,0,0,0,0,0,0.00208,0.223560005,0.251780003,1.222499967,0.17182,0.00418,0,0,0.0017,0,0.00074,0,0,0,1.22495997,0.185900003,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,97,,,,
4794,91800100,"מסטיק, לפנ",,,1,0,0.370000005,92.97000122,296,0,3.230000019,2.400000095,14,0,0,0,1,5,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.052999999,0,0,0,0,0,0,0.039999999,0.012,0.086999997,0.182999998,0.02,0,0,0.001,0,0.001,0,0,0,0.089000002,0.203999996,0,19.82,,0,1,,,,,,,,,,,,,,,,0,,,0.5,,0,,,
4795,91801000,"מסטיק, מצופה סוכר",,,1,0,0.300000012,94.30000305,360,0,2.599999905,2.400000095,0,0,0,0,2,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.041999999,0,0,0,0,0,0,0.035999998,0.005,0.079000004,0.133000001,0.004,0,0,0,0,0,0,0,0,0.079000004,0.136999995,0,66.08,,0,1,,,,,,,,,,,,,,,,0,0,,0.6,,0,,0,
4796,91802000,"מסטיק, ללא ציפוי, ללא סוכר",,,1,0,0.400000006,92.40000153,268,0,3.5,2.400000095,20,0,0,0,0,7,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.057999998,0,0,0,0,0,0,0.041000001,0.015,0.090999998,0.203999996,0.027000001,0,0,0.001,0,0.001,0,0,0,0.093000002,0.231999993,0,0,,0,1,,,,,,,,,,,,,,,,0,,,0.5,,0,,,
4797,91802019,"מסטיק, ללא סוכר, MUST",,,3,0,0.899999976,67.19999695,169,0,29.89999962,0,14.54500008,0,0,0,0,0.100000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,0.034000002,0.204999998,0.458999991,0.061000001,0,0,0.002,0,0.002,0,0,0,0.209000006,0.522000015,0,0,,0,1,,,,,,,,,,,,,,,,0,,,0.364,,0,,,
4798,91802029,"מסטיק, בזוקה/סופר בזוקה",,,2,0,0,78,312,,21,,0,0,0,0,1.627188444,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,78,,0,1,,,,,,,,,,,,,,,,,,,,,,,,
4799,91802039,"מסטיק, ג'ולים/מיני-גם, עלית",,,3,0,0,80,320,,19,,2.913669109,0.223381296,1.942445993,7.769783974,4.856115341,18,0.038848922,0.094208635,0,0,0,0,0.000971223,0.000971223,0.075755395,0.002913669,0.971222997,0.971222997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,67.11111111,,,
4800,92101000,"קפה, מוכן מקפה טחון, רגיל, כולל קפה פילטר",,,1,0.119999997,0.02,0,1,0,99.38999939,0,2,0.01,3,3,49,2,0.02,0.002,,0,0.01,0,0.014,0.075999998,0.191,0.001,2,2,0,0,0.002,0,0,0,0,0,0,0.002,0,0,0.001,0,0,0,0,0,0,0,0,0,0.015,0.001,0,0,,0,1,0.002,0.005,0.003,0.001,0.001,0,0.003,0,0.002,0.002,0.001,0.002,0.001,,,0.1,0.254,,0,,2.6,,0.023,0
4801,92101008,"קפה טורקי/ שחור ממותק, הוכן בכלי מרכזי",,,4,0.260683745,0.010683761,3.747436047,15.81196594,0,93.98119354,0,11.75213623,0.097222216,10.44871807,6.474359035,75.95085144,8.910256386,0.018376067,0.003333333,,0,0,0,0.00017094,0.00198718,0.601987183,0.000619658,0,0,0,0,0.004209402,0,0,0,0,0,0,0.003119658,0.000747863,0.000854701,0.003846154,0.000320513,0,0,0,0,2.14E-05,0,0,0,0.000876068,0.004188034,0,2.132478714,,0,1,0.003675214,0.010213675,0.005897436,0.002051282,0.003034188,0.000491453,0.005598291,0.000641026,0.003525641,0.003525641,0.001132479,0.004316239,0.002692308,,,0.040598292,0.00207265,,0.31089744,,2.177350521,,0.058034189,0
4802,92101600,"קפה, מוכן טורקי/שחור ממותק",,,1,0.109999999,0.02,9.56000042,38,0,89.88999939,0,2,0.01,3,3,45,2,0.02,0.002,,0,0.01,0,0.013,0.071000002,0.172999993,0.001,2,2,0,0,0.002,0,0,0,0,0,0,0.002,0,0,0.001,0,0,0,0,0,0,0,0,0,0.014,0.001,0,9.54,,0,1,,,,,,,,,,,,,,,,0.1,,,0.1,,2.4,,,
4803,92101610,"קפה, מוכן אספרסו,כולל טורקי/שחור,לא ממותק",,,1,0.119999997,0.180000007,1.669999957,9,0,97.80000305,0,2,0.129999995,80,7,115,14,0.050000001,0.050000001,,0,0.01,0.200000003,0.001,0.177000001,5.206999779,0.002,1,1,0,0,0.092,0,0,0,0,0,0,0.046,0,0,0.092,0,0,0,0,0,0,0,0,0,0,0.092,0,0,,0,1,,,,,,,,,,,,,,,,0.1,0.028,,0,,2.6,,0.05,
4804,92101630,"קפה, מוכן אספרסו, נטול קפאין",,,1,0.100000001,0.180000007,1.690000057,9,0,97.80000305,0,2,0.129999995,80,7,115,14,0.050000001,0.050000001,,0,0,0.200000003,0.001,0.177000001,5.206999779,0.002,1,1,0,0,0.092,0,0,0,0,0,0,0.046,0,0,0.092,0,0,0,0,0,0,0,0,0,0,0.092,0,0,,0,1,,,,,,,,,,,,,,,,0.1,0.028,,0,,1,,0.05,
